Brand,Product name,Image,Sales price,Review
CHARLOTTE TILBURY,CHARLOTTE TILBURY BIGGER BRIGHTER EYES FILTER - EXAGGEREYES,"=image(""https://static.lottedfs.com/prod/prd-img/62/03/93/00/00/02/20000930362_4.jpg/dims/resize/180x180"")",$58,0
TOO FACED,MELTED MATTE LIQUIFIED MATTE LONG WEAR LIPSTICK PUMPKIN SPICE,"=image(""https://static.lottedfs.com/prod/prd-img/03/09/95/00/00/02/20000950903_2.jpg/dims/resize/180x180"")",$19.95,0
ADDICTION,COMPACT ADDICTION ETERNAL IN PINK,"=image(""https://static.lottedfs.com/prod/prd-img/84/26/95/00/00/02/20000952684_4.jpg/dims/resize/180x180"")",$67.45,0
HOURGLASS,CURATOR SINGLE SHADOW PALETTE,"=image(""https://static.lottedfs.com/prod/prd-img/img_product_noImg.png/dims/resize/180x180"")",$11.4,0
HERMES,"LES MAINS HERMES, ENAMEL NAIL POLISH","=image(""https://static.lottedfs.com/prod/prd-img/img_product_noImg.png/dims/resize/180x180"")",$47,0
THREE,THREE ADVANCED ETHEREAL SMOOTH OPERATOR LOOSE POWDER,"=image(""https://static.lottedfs.com/prod/prd-img/img_product_noImg.png/dims/resize/180x180"")",$48,0
TOM FORD BEAUTY,SOLEIL GLOW TONE UP FOUNDATION HYDRATING CUSHION COMPACT SPF 40 - FILLED COMPACT 6.0 NATURAL,"=image(""https://static.lottedfs.com/prod/prd-img/30/56/88/00/00/02/20000885630_4.jpg/dims/resize/180x180"")",$73,0
CLE DE PEAU BEAUTE,CPB L FACE ENHANCER HOLIDAY,"=image(""https://static.lottedfs.com/prod/prd-img/52/56/94/00/00/02/20000945652_4.jpg/dims/resize/180x180"")",$97,0
I'M MEME,AFTERNOON TEA BLUSHER PALETTE_CHAMPAGNE PARTY,"=image(""https://static.lottedfs.com/prod/prd-img/img_product_noImg.png/dims/resize/180x180"")",$13.5,0
HELENA RUBINSTEIN,HELENA RUBINSTEIN LASH QUEEN FATAL BLACKS MASCARA(WATERPROOF),"=image(""https://static.lottedfs.com/prod/prd-img/img_product_noImg.png/dims/resize/180x180"")",$51,0
